timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1691169300,Aug 04 2023 - 5:15pm,complete,N/A,Hallescher FC,Rot-Weiss Essen,Patrick Kessel,1,0.00,0.00,1.32,1.11,2,1,3,2,2,0,"2,39","69",1,3,4,0,1,0,2,2,0,1,8,19,3,5,4,13,16,7,42,58,0.00,0.00,1.02,2.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.99,3.30,3.15,1.25,1.83,3.10,5.50,1.63,2.10,Leuna Chemie Stadion (Halle (Saale))
1691236800,Aug 05 2023 - 12:00pm,complete,N/A,Viktoria Köln,Verl,Mario Hildenbrand,1,0.00,0.00,1.68,1.32,3,1,4,2,1,1,"35,58,72","29",2,5,2,0,3,0,2,0,1,2,10,9,4,6,5,2,12,9,43,57,0.00,0.00,1.09,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.70,3.08,1.18,1.53,2.55,4.33,1.52,2.45,Sportpark Höhenberg (Köln)
1691236800,Aug 05 2023 - 12:00pm,complete,N/A,VfB Lübeck,Sandhausen,Lars Erbst,1,0.00,0.00,1.11,1.11,0,0,0,0,0,0,"","",4,9,2,0,5,0,0,2,3,2,9,14,2,5,5,6,12,16,52,48,0.00,0.00,0.94,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.70,1.85,1.22,1.61,2.80,4.50,1.60,2.25,Dietmar-Scholze-Stadion an der Lohmühle (Lübeck)
1691236800,Aug 05 2023 - 12:00pm,complete,N/A,1860 München,Waldhof Mannheim,Tom Bauer,1,0.00,0.00,1.42,0.74,2,0,2,1,1,0,"12,55","",6,8,3,0,2,0,0,3,0,2,10,13,5,4,3,7,10,12,39,61,0.00,0.00,1.22,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.26,3.58,3.10,1.22,1.60,2.75,4.50,1.57,2.35,Städtisches Stadion an der Grünwalder Straße (München)
1691236800,Aug 05 2023 - 12:00pm,complete,N/A,Preußen Münster,Borussia Dortmund II,Konrad Oldhfer,1,0.00,0.00,2.16,1.47,0,0,0,0,0,0,"","",7,0,1,0,1,0,0,1,1,0,14,4,6,0,6,3,2,11,54,46,0.00,0.00,1.80,0.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.72,3.48,1.20,1.61,2.65,4.50,1.62,2.20,Preußen-Stadion (Münster)
1691236800,Aug 05 2023 - 12:00pm,complete,N/A,Jahn Regensburg,Unterhaching,Florian Exner,1,0.00,0.00,1.68,1.00,1,1,2,2,1,1,"20","24",6,4,0,0,6,0,0,0,2,4,18,9,9,2,7,6,13,11,53,47,0.00,0.00,2.19,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.70,4.60,1.18,1.60,2.55,4.33,1.65,2.15,Jahnstadion Regensburg (Regensburg)
1691244900,Aug 05 2023 - 2:15pm,complete,N/A,Dynamo Dresden,Arminia Bielefeld,Wolfgang Haslberger,1,0.00,0.00,1.84,1.21,3,1,4,3,2,1,"14,36,64","45'4",6,5,2,0,4,1,1,1,1,4,13,9,7,4,3,3,7,16,52,48,0.00,0.00,1.60,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.75,3.40,1.18,1.56,2.40,4.33,1.52,2.45,Rudolf-Harbig-Stadion (Dresden)
1691321400,Aug 06 2023 - 11:30am,complete,N/A,Ulm,Saarbrucken,Nicolas Winter,1,0.00,0.00,2.16,1.53,1,1,2,2,1,1,"41","2",5,5,5,0,1,1,3,2,0,2,12,9,4,5,5,2,16,5,52,48,0.00,0.00,1.28,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.45,3.50,1.91,1.25,1.67,2.95,5.00,1.63,2.20,Donaustadion (Ulm)
1691332200,Aug 06 2023 - 2:30pm,complete,N/A,Freiburg II,MSV Duisburg,Christian Ballweg,1,0.00,0.00,1.05,0.47,1,1,2,1,0,1,"46","28",4,5,3,0,4,0,2,1,1,3,10,12,3,8,6,3,5,13,48,52,0.00,0.00,1.18,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.12,3.40,3.10,1.22,1.73,2.80,4.50,1.62,2.20,Dreisamstadion (Freiburg im Breisgau)
1691343000,Aug 06 2023 - 5:30pm,complete,N/A,Erzgebirge Aue,Ingolstadt,Lukas Benen,1,0.00,0.00,2.16,1.11,1,0,1,0,0,0,"90","",7,5,4,0,3,0,1,3,3,0,9,14,6,5,3,3,12,12,56,44,0.00,0.00,1.42,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.40,2.45,1.22,1.61,2.75,4.75,1.62,2.20,Erzgebirgsstadion (Aue)
