timestamp,date;_GM;T,sta;tu;name;away_team_name;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no
1691776800,Aug;11;2023;-;Ahli; Hazm;1;0;0;2,18;0,59;3;1;4;2;2;0;6,10,72;50;3;8;1;0;2;0;0;1;2;0;16;13;8;4;5;6;9;16;59;41;0;0;1,68;1,28;0;0;0;0;0;0;0;0;0;0;0;0;1,44;4,15;5,8;1,19;1,62;2,53;4,38;1,73;2,06
1691852400,Aug;12;2023;-;Ta'ee;Dhamk;1;0;0;1,29;1;1;0;1;0;0;0;79;;2;3;0;0;5;0;0;0;3;2;7;10;3;4;2;2;12;24;51;49;0;0;0,75;1,08;0;0;0;0;0;0;0;0;0;0;0;0;1,96;3,38;3,3;1,25;1,68;2,9;5,05;1,62;2,1
1691863200,Aug;12;2023;-;Feiha; Kheej;1;0;0;1,12;1,29;3;1;4;2;2;0;13,45'7,76;87;3;9;3;0;1;0;2;1;1;0;9;17;4;5;4;3;15;10;37;63;0;0;0,99;1,47;0;0;0;0;0;0;0;0;0;0;0;0;1,96;3,3;3,38;1,32;1,9;3,56;6,95;1,79;1,87
1691949600,Aug;13;2023;-;Fateh; Taawon;1;0;0;1,35;1,71;1;1;2;2;1;1;24;45'1;5;11;2;0;2;0;0;2;1;1;11;22;5;8;3;12;8;6;47;53;0;0;1,29;2,16;0;0;0;0;0;0;0;0;0;0;0;0;2,25;3,47;2,64;1,16;1,56;2,45;4,25;1,5;2,5
1691949600,Aug;13;2023;-;Riyadh; Wahda;1;0;0;1,12;0,82;1;0;1;1;1;0;17;;3;8;2;0;1;0;1;1;0;1;7;20;4;9;3;8;14;6;43;57;0;0;0,99;2,21;0;0;0;0;0;0;0;0;0;0;0;0;2,26;3,17;2,85;1,31;1,97;3,35;6,2;1,73;2,06
1692025200,Aug;14;2023;-;ha; Hil;1;0;0;1,76;2,76;1;3;4;2;1;1;33;31,55,77;3;8;0;0;1;0;0;0;0;1;14;27;5;9;7;11;8;7;28;72;0;0;1,33;2,34;0;0;0;0;0;0;0;0;0;0;0;0;8;5,5;1,3;1,16;1,5;2,3;4;1,8;1,95
1692025200,Aug;14;2023;-;Raed; Ittihad;1;0;0;1,12;1,47;0;3;3;0;0;0;;58,73,79;1;10;0;0;0;0;0;0;0;0;6;19;2;10;4;4;5;6;32;68;0;0;0,64;2,1;0;0;0;0;0;0;0;0;0;0;0;0;7,5;5;1,33;1,16;1,5;2,3;4;1,75;2
1692036000,Aug;14;2023;-;Ittifaq; Nassr;1;0;0;1,47;2,53;2;1;3;1;0;1;47,53;4;2;3;0;0;2;0;0;0;1;1;6;11;4;3;2;5;10;12;44;56;0;0;0,84;1,06;0;0;0;0;0;0;0;0;0;0;0;0;5;4,33;1,53;1,2;1,65;2,65;4,5;1,71;2,08
1692036000,Aug;14;2023;-;Shabab; Akhdoud;1;0;0;1,59;0,82;1;1;2;1;0;1;66;41;5;2;2;0;2;0;0;2;0;2;14;9;5;4;7;4;8;15;66;34;0;0;1,67;0,96;0;0;0;0;0;0;0;0;0;0;0;0;1,45;4,55;6,05;1,15;1,59;2,34;4,05;1,68;2,13
1692284400,Aug;17;2023;-;amk; Riyadh;2;0;0;1,41;0,94;2;2;4;2;0;2;53,90'10;12,35;11;0;2;0;2;0;0;2;1;1;23;6;6;4;10;2;13;10;57;43;0;0;1,82;0,78;0;0;0;0;0;0;0;0;0;0;0;0;1,75;3,5;4,75;1,23;1,8;2,88;5,35;1,73;2,06
