timestamp,date;_GM;T,sta;tu;s;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name;
1724343000,Aug;22;2024;-;4:10pm;complete;N/A; Taawon; Feiha;N/A;1;0.00;0.00;2.00;0.57;1;0;1;0;0;0;90'5;;1;3;1;1;3;0;0;2;2;1;12;9;5;4;3;4;7;9;64;36;0.00;0.00;1.28;1.03;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.42;4.43;5.90;1.16;1.66;2.42;4.25;1.80;1.91;Al Taawon Club Stadium (Buraydah (Buraidah))
1724349600,Aug;22;2024;-;6:00pm;complete;N/A; Wahda; Riyadh;Mohammed Al Esmaiel;1;0.00;0.00;1.00;2.00;3;3;6;1;1;0;40,62,90'4;51,85,90'7;4;7;2;0;2;1;0;2;0;3;19;7;8;4;7;3;14;7;59;41;0.00;0.00;1.85;1.08;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.62;3.85;5.00;1.28;1.85;3.10;6.25;1.83;1.85;King Abdulaziz Sports City Stadium (Makkah (Mecca))
1724349600,Aug;22;2024;-;6:00pm;complete;N/A; Nassr; Raed;Khaled Al Teris;1;0.00;0.00;1.71;1.00;1;1;2;1;1;0;34;49;13;1;3;0;5;0;1;2;3;2;29;9;9;6;13;2;12;10;72;28;0.00;0.00;2.67;1.04;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.25;6.00;10.00;1.10;1.38;1.95;3.10;1.73;1.95;Al Awal Park at King Saud University (Ar-Riyāḍ (Riyadh))
1724429400,Aug;23;2024;-;4:10pm;complete;N/A;Dhamk; Kheej;N/A;1;0.00;0.00;1.71;1.50;0;1;1;1;0;1;;16;5;1;2;0;3;0;1;1;0;3;21;6;4;2;12;3;9;13;57;43;0.00;0.00;1.67;0.60;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.31;3.26;3.08;1.33;1.99;3.50;7.00;1.73;1.95;Dhamak Club Stadium (Khamis Mushait)
1724436000,Aug;23;2024;-;6:00pm;complete;N/A; Ahli; Orubah;Sami Al Jires;1;0.00;0.00;2.17;0.88;2;0;2;1;1;0;32,8;;4;1;1;0;3;0;1;0;0;3;25;9;7;3;11;5;13;5;68;32;0.00;0.00;2.17;0.91;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.22;7.00;8.50;1.07;1.40;1.83;3.00;1.70;2.00;King Abdullah Sports City (Jeddah)
1724436000,Aug;23;2024;-;6:00pm;complete;N/A; Quadisiya; Fateh;Ahmad Al Rumaikhani;1;0.00;0.00;2.50;0.17;3;0;3;1;1;0;34,73,90'2;;9;4;2;0;0;0;0;2;0;0;15;5;6;4;4;1;14;9;50;50;0.00;0.00;1.41;0.82;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.69;3.46;4.17;1.18;1.70;2.60;4.33;1.67;2.10;Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1724515800,Aug;24;2024;-;4:10pm;complete;N/A; Kholood; Ittihad;Faisal Alblwi;1;0.00;0.00;0.33;2.50;0;1;1;0;0;0;;90'4;4;5;1;0;1;0;0;1;0;1;12;12;3;2;2;6;11;18;34;66;0.00;0.00;0.81;1.12;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.70;4.33;1.67;1.11;1.44;2.00;3.20;1.45;2.55;King Abdullah Sport City Stadium (Buraydah (Buraidah))
1724522400,Aug;24;2024;-;6:00pm;complete;N/A; Akhdoud; Hil;Fedayi San;1;0.00;0.00;0.71;2.29;0;3;3;3;0;3;;4,39,45'1;1;1;3;0;0;0;3;0;0;0;6;13;0;7;5;5;13;7;33;67;0.00;0.00;0.48;1.53;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;12.00;6.50;1.20;1.09;1.35;1.90;3.00;1.77;1.90;Prince Hathloul Bin Abdul Aziz Sport City Stadium (Najran)
1724522400,Aug;24;2024;-;6:00pm;complete;N/A; Shabab; Ittifaq;Majed Al Shamrani;1;0.00;0.00;1.43;1.71;0;1;1;0;0;0;;74;4;3;0;0;1;0;0;0;0;1;10;7;5;3;5;3;13;12;60;40;0.00;0.00;1.49;0.86;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.16;3.48;3.35;1.27;1.85;3.08;5.85;1.62;2.10;Al-Shabab Club Stadium (Riyadh)
1724773500,Aug;27;2024;-;3:45pm;complete;N/A; Fateh; Ahli;N/A;2;0.00;0.00;0.71;1.43;1;0;1;0;0;0;54;;4;4;1;0;2;0;1;0;1;1;10;10;4;6;2;1;9;9;43;57;0.00;0.00;0.91;1.25;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;4.49;4.37;1.61;1.14;1.48;2.20;3.70;1.48;2.40;Al Fateh Club Stadium (Al-Hasa)
