timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1709269200,Mar 01 2024 - 5:00am,complete,N/A,Ulsan,Pohang Steelers,Woo-Sung Kim,1,0.00,0.00,2.37,1.33,1,0,1,0,0,0,"51","",4,4,0,0,2,1,0,0,0,3,11,5,6,3,4,2,4,8,61,39,0.00,0.00,1.38,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.60,4.00,1.25,1.83,3.00,5.50,1.73,2.00,Ulsan Munsu Football Stadium (Ulsan)
1709278200,Mar 01 2024 - 7:30am,complete,24758,Jeonbuk Motors,Daejeon Citizen,Dong-Sik Jeong,1,0.00,0.00,1.37,1.00,1,1,2,1,0,1,"86","11",8,2,2,0,4,0,0,2,1,3,20,8,7,4,11,3,9,14,60,40,0.00,0.00,2.28,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.75,4.20,1.27,1.85,3.10,5.99,1.73,2.00,Jeonju World Cup Stadium (Jeonju)
1709355600,Mar 02 2024 - 5:00am,complete,N/A,Gwangju,FC Seoul,Byung-Jin Park,1,0.00,0.00,1.50,1.40,2,0,2,1,1,0,"21,90'5","",8,5,4,0,3,0,0,4,1,2,13,13,6,4,6,7,5,14,47,53,0.00,0.00,1.56,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.10,3.00,1.36,2.05,3.75,7.50,1.83,1.83,Gwangju Football Stadium (Gwangju)
1709364600,Mar 02 2024 - 7:30am,complete,N/A,Incheon United,Suwon,Yong-Jun Shin,1,0.00,0.00,0.74,1.30,0,1,1,0,0,0,"","90'10",8,2,2,0,3,0,1,1,1,2,19,6,7,2,7,4,6,8,60,40,0.00,0.00,2.10,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.40,3.30,1.25,1.75,2.90,5.50,1.67,2.10,Sungui Arena Park (Incheon)
1709364600,Mar 02 2024 - 7:30am,complete,N/A,Gangwon,Jeju United,Hyung-Jin Ko,1,0.00,0.00,2.16,0.79,1,1,2,2,1,1,"1","44",6,4,2,0,1,0,1,1,1,0,22,14,7,6,9,7,10,11,44,56,0.00,0.00,1.96,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,2.90,2.80,1.44,2.30,4.50,9.00,2.00,1.73,Chuncheon Songam Stadium (Chuncheon)
1709442000,Mar 03 2024 - 5:00am,complete,N/A,Daegu,Sangju Sangmu,N/A,1,0.00,0.00,1.21,1.37,0,1,1,0,0,0,"","78",3,3,1,0,3,0,0,1,1,2,16,8,4,3,11,5,11,9,49,51,0.00,0.00,1.71,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.30,3.90,1.38,2.15,4.00,8.00,1.91,1.80,DGB Daegu Bank Park (Daegu)
1709960400,Mar 09 2024 - 5:00am,complete,N/A,Suwon,Jeonbuk Motors,Sang-Hyeop Chae,2,0.00,0.00,1.50,0.84,1,1,2,0,0,0,"47","54",9,6,0,0,0,1,0,0,1,0,33,15,9,4,14,8,9,7,69,31,0.00,0.00,2.90,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.70,3.30,1.95,1.30,1.90,3.25,6.25,1.70,2.00,Suwon Sports Complex (Suwon)
1709969400,Mar 09 2024 - 7:30am,complete,N/A,Pohang Steelers,Daegu,Byung-Jin Park,2,0.00,0.00,1.45,0.89,3,1,4,1,0,1,"49,53,73","45'1",3,2,2,0,1,0,0,2,0,1,11,16,6,5,3,8,21,8,53,47,0.00,0.00,1.55,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.20,3.50,1.40,2.20,4.20,8.00,1.90,1.77,Steelyard Stadium (Pohang)
1709969400,Mar 09 2024 - 7:30am,complete,N/A,Sangju Sangmu,Ulsan,Yong-Woo Kim,2,0.00,0.00,1.95,1.42,2,3,5,3,0,3,"58,61","17,26,29",7,0,1,0,1,0,0,1,0,1,14,9,6,7,5,1,7,12,66,34,0.00,0.00,1.80,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.28,3.54,2.15,1.25,1.80,3.00,5.50,1.62,2.10,Gimcheon Stadium (Gimcheon)
1710046800,Mar 10 2024 - 5:00am,complete,N/A,Jeju United,Daejeon Citizen,Dong-Jun Lee,2,0.00,1.00,1.79,1.00,3,1,4,2,2,0,"39,45'6,65","88",8,6,0,0,4,0,0,0,1,3,11,12,6,8,4,2,12,8,53,47,0.00,1.07,1.55,1.69,1.00,50,50,0,0,0,0,50,0,50,2.00,4.00,2.10,3.50,3.50,1.25,1.90,3.10,5.80,1.72,1.97,Jeju World Cup Stadium (Seogwipo)
